virginia,Kyle Guy,5.9,.396,6.6,.339,1.2,.905
virginia,Ty Jerome,4.9,.489,5.0,.411,1.7,.867
virginia,Devon Hall,4.4,.438,4.2,.434,2.4,.864
virginia,De'Andre Hunter,6.1,.505,1.9,.471,2.8,.720
virginia,Isaiah Wilkins,4.6,.470,0.4,.125,0.9,.647
virginia,Mamadi Diakite,3.0,.556,0.0,,1.2,.810
virginia,Jack Salt,2.6,.617,0.0,,0.8,.286
virginia,Nigel Johnson,2.5,.405,1.0,.267,0.8,.583
virginia,Marco Anthony,1.5,.333,0.8,.600,0.5,.333
virginia,Jay Huff,0.5,.500,0.0,,0.8,.667
maryland,Anthony Cowan,7.1,.449,4.9,.398,5.7,.816
maryland,Kevin Huerter,4.7,.595,5.6,.386,4.1,.797
maryland,Justin Jackson,7.0,.571,3.5,.143,3.5,.857
maryland,Bruno Fernando,6.8,.569,0.2,.333,3.2,.759
maryland,Darryl Morsell,7.8,.421,0.8,.133,2.8,.700
maryland,Michal Cekovsky,4.4,.682,0.1,.000,1.3,.550
maryland,Dion Wiley,1.9,.433,3.1,.367,0.4,1.000
maryland,Jared Nickens,1.2,.476,3.4,.344,0.4,.714
maryland,Joshua Tomaic,0.6,1.000,0.6,.444,0.7,.545
maryland,Ivan Bender,1.5,.667,0.0,,0.0,
creighton,Marcus Foster,9.3,.530,7.4,.421,2.6,.809
creighton,Khyri Thomas,5.6,.653,4.9,.427,2.9,.774
creighton,Martin Krampelj,5.9,.805,1.9,.231,2.6,.611
creighton,Toby Hegner,2.6,.553,3.5,.429,1.2,.905
creighton,Ronnie Harrell,3.4,.569,2.3,.324,2.0,.900
creighton,Davion Mintz,3.1,.446,1.8,.303,2.5,.756
creighton,Jacob Epperson,3.7,.697,0.0,,1.0,.333
creighton,Mitchell Ballock,1.9,.543,3.2,.298,0.6,.700
creighton,Ty-Shon Alexander,1.3,.542,2.3,.310,1.2,.667
creighton,Kaleb Joseph,1.5,.667,0.3,.000,1.0,1.000
kansas-state,Dean Wade,9.3,.587,3.6,.453,3.8,.812
kansas-state,Barry Brown,9.0,.543,3.8,.382,6.1,.734
kansas-state,Xavier Sneed,3.6,.477,5.1,.348,2.2,.692
kansas-state,Cartier Diarra,3.6,.538,2.6,.457,2.2,.821
kansas-state,Makol Mawien,3.8,.536,0.2,.250,1.4,.808
kansas-state,Kamau Stokes,2.1,.320,3.2,.237,1.9,.826
kansas-state,Levi Stockard III,1.5,.481,0.0,,0.2,.750
kansas-state,Amaad Wainright,0.6,.545,0.8,.231,0.8,.429
kansas-state,Brian Patrick,0.3,.667,1.5,.188,0.2,1.000
kansas-state,Mike McGuirl,0.7,.400,1.0,.143,0.3,1.000
kentucky,Kevin Knox,7.1,.488,4.4,.342,4.7,.800
kentucky,Shai Gilgeous-Alexander,10.1,.470,1.4,.400,4.9,.818
kentucky,PJ Washington,6.7,.525,0.7,.154,5.7,.621
kentucky,Quade Green,4.7,.486,3.8,.386,1.8,.741
kentucky,Hamidou Diallo,4.7,.376,2.0,.278,3.1,.571
kentucky,Jarred Vanderbilt,4.8,.468,0.1,.000,2.8,.639
kentucky,Wenyen Gabriel,2.3,.537,3.0,.315,1.1,.474
kentucky,Nick Richards,2.4,.605,0.0,,1.7,.710
kentucky,Sacha Killeya-Jones,1.4,.696,0.1,.000,1.0,.500
kentucky,Brad Calipari,0.0,,0.8,.250,0.0,
davidson,Peyton Aldridge,9.1,.571,5.7,.392,4.6,.855
davidson,Kellan Grady,8.1,.641,6.0,.352,3.6,.815
davidson,Jon Axel Gudmundsson,5.1,.505,4.3,.410,2.6,.809
davidson,Will Magarity,3.1,.618,1.7,.467,0.6,.545
davidson,KiShawn Pritchett,1.7,.500,2.8,.480,0.6,.909
davidson,Oskar Michelsen,1.1,.800,2.4,.326,0.8,.857
davidson,Rusty Reigel,0.5,.333,1.4,.400,0.2,1.000
davidson,Carter Collins,0.9,.600,0.6,.286,0.5,.600
davidson,Jordan Watkins,0.1,1.000,0.6,.571,0.0,
davidson,Malcolm Wynter,0.1,.000,0.4,.500,0.0,
arizona,DeAndre Ayton,12.1,.622,0.5,.444,5.8,.771
arizona,Allonzo Trier,4.8,.610,6.0,.385,4.7,.907
arizona,Dusan Ristic,9.7,.560,0.5,.667,2.0,.778
arizona,Rawle Alkins,6.2,.452,4.2,.365,4.1,.721
arizona,Parker Jackson-Cartwright,2.3,.512,3.7,.348,1.8,.813
arizona,Dylan Smith,0.9,.412,3.1,.400,0.4,.857
arizona,Keanu Pinder,1.0,.813,0.0,,1.4,.727
arizona,Emmanuel Akot,1.1,.444,0.3,.800,0.6,.500
arizona,Brandon Randolph,1.4,.391,1.1,.158,0.4,.714
arizona,Ira Lee,0.6,.500,0.0,,0.8,.545
buffalo,Nick Perkins,9.4,.600,2.8,.300,5.9,.738
buffalo,Jeremy Harris,5.8,.629,6.0,.463,2.1,.865
buffalo,C.J. Massinburg,5.4,.598,5.2,.387,4.6,.732
buffalo,Wes Clark,6.4,.534,4.3,.372,3.2,.707
buffalo,Davonta Jordan,4.0,.583,1.6,.276,0.9,.313
buffalo,Jayvon Graves,2.1,.514,2.3,.439,1.3,.652
buffalo,Dontay Caruthers,2.3,.600,1.2,.438,0.8,.455
